0.4	[0.2804312608234177, 0.517624713703145, 0.3379106085083468, 0.623721055465805, 0.23966389764155446, 0.4423756325790127, 0.3473344103392569, 0.2858104469574583]
0.41	[0.2784895482130816, 0.5171948752528658, 0.33360258481421645, 0.6195476575121163, 0.23900462962962962, 0.44386574074074076, 0.3446418955304254, 0.2859450726978998]
0.42	[0.2755459997736789, 0.5158990607672287, 0.32781367797522887, 0.6137587506731287, 0.23765371852430217, 0.44495412844036697, 0.34262250942380185, 0.2859450726978998]
0.43	[0.27248390955174573, 0.5146665147804295, 0.32202477113624123, 0.6082390953150242, 0.23615361832362525, 0.44604600651594434, 0.34006462035541196, 0.286214324178783]
0.44	[0.26849409335933017, 0.5114118591581603, 0.31515885837372104, 0.6002961766289715, 0.23386613386613386, 0.44545454545454544, 0.34073774905761983, 0.2851373182552504]
0.45	[0.26538039396915253, 0.5099647622898734, 0.30923532579429186, 0.5942380183091007, 0.23241930587878173, 0.44662551856723665, 0.3383144857296715, 0.2850026925148088]
0.46	[0.2618549511854951, 0.509065550906555, 0.3033117932148627, 0.5896607431340872, 0.2303680981595092, 0.44785276073619634, 0.33548734518039847, 0.28634894991922455]
0.47	[0.2597372262773723, 0.5076788321167884, 0.29940764674205705, 0.5852180936995154, 0.22934928328348975, 0.4482829741157059, 0.3358912224017232, 0.2858104469574583]
0.48	[0.25617845611975343, 0.5057822130906956, 0.29375336564351107, 0.5799676898222941, 0.22712605391901738, 0.44842302487769337, 0.3349488422186322, 0.286214324178783]
0.49	[0.2536326048434731, 0.5045481393975192, 0.28904146472805603, 0.5749865374259558, 0.22595243106714377, 0.44948431909071773, 0.33266020463112544, 0.2859450726978998]
0.5	[0.2514550421665281, 0.5036227580472741, 0.2850026925148088, 0.5708131394722671, 0.22497343251859725, 0.4505844845908608, 0.3305061927840603, 0.2858104469574583]
